#Deutsch	Furigana	Romaji	Type	Baseform	Romaji  
Morgen-Meetings sind lang, nicht wahr?	午[ご]前[ぜん]のミーティングは 長[なが]いですね。	Gozen no miitingu wa nagai desu ne.	Beispielsatz		
Was für eine Art von Kamera verwenden Sie?	どんなカメラを 使[つか]いますか。	Donna kamera o tsukaimasu ka.	Beispielsatz		
Lass uns heute in der Cafeteria essen.	今日[きょう]は 食[しょく]堂[どう]で 食[た]べましょう。	Kyou wa shokudou de tabemashou.	Beispielsatz		
Treffen wir uns im zweiten Stock.	二[に]階[かい]で 会[あ]いましょう。	Nikai de aimashou.	Beispielsatz		
Ist auch im zweiten Stock eine Toilette?	お 手[て]洗[あら]いも 二[に]階[かい]ですか。	Otearai mo nikai desu ka.	Beispielsatz		
Wie wäre es mit gebratenem Reis?	チャーハンは どうですか。	Chaahan wa dou desu ka.	Beispielsatz		
Wie viel kostet gebratener Reis?	チャーハンは いくらですか。	Chaahan wa ikura desu ka.	Beispielsatz		
Die Mittagspause ist ab ein Uhr.	昼[ひる]休[やす]みは 一[いち]時[じ]からです。	Hiru yasumi wa ichi ji kara desu.	Beispielsatz		
Magst du Pommes frites?	フライドポテト は 好[す]きですか。	Furaidopoteto wa suki desu ka.	Beispielsatz		
Ich esse heute Pommes frites.	今日[きょう]は フライドポテトを 食[た]べます。	Kyou wa furaidopoteto o tabemasu.	Beispielsatz		
Bis wie viel Uhr (wann) ist die Präsentation?	プレゼンは 何[なん]時[じ]までですか。	Purezen wa nanji made desu ka.	Beispielsatz		
Die Präsentation ist bis sechs Uhr.	プレゼンは 六[ろく]時[じ]までです。	Purezen wa roku ji made desu.	Beispielsatz		
Die Mittagspause ist bis 1:30 Uhr.	昼[ひる]休[やす]みは 一[いち]時[じ]半[はん]までです。	Hiru yasumi wa ichi ji han made desu.	Beispielsatz		
Gehst du zur Nachmittags-Präsentation?	午[ご]後[ご]のプレゼンに 行[い]きますか。	Gogo no purezen ni ikimasu ka.	Beispielsatz		
Das Nachmittags-Meeting ist bis fünf Uhr.	午[ご]後[ご]のミーティングは 五[ご]時[じ]までです。	Gogo no miitingu wa go ji made desu.	Beispielsatz		
Wir treffen uns heute mit einem Kunden.	今日[きょう]クライアントと 会[あ]います。	Kyou kuraianto to aimasu.	Beispielsatz		
Das Nachmittags-Training ist im zweiten Stock.	午[ご]後[ご]のトレーニングは 二[に]階[かい]です。	Gogo no toreeningu wa nikai desu.	Beispielsatz		
Ist eine Bar in der Nähe?	バーは 近[ちか]いですか。	Baa wa chikai desu ka.	Beispielsatz		
Was sollen wir singen?	何[なに]を 歌[うた]いましょう か。	Nani o utaimashou ka.	Beispielsatz		
Lasst uns zum Karaoke gehen!	カラオケに 行[い]きましょう！	Karaoke ni ikimashou!	Beispielsatz		
Wir sollten K-Pop beim Karaoke singen!	カラオケでKポップを 歌[うた]いましょう！	Karaoke de K-poppu o utaimashou!	Beispielsatz		
Was sollen wir anschließend machen?	この 後[あと]何[なに]をしましょうか。	Kono ato nani o shimashou ka.	Beispielsatz		
Lasst uns anschließend heimkehren.	この 後[あと]家[うち]に 帰[かえ]りましょう。	Kono ato uchi ni kaerimashou.	Beispielsatz		
Wir sollten anschließend ein wenig ausruhen.	この 後[あと]少[すこ]し 休[やす]みましょう。	Kono ato sukoshi yasumimashou.	Beispielsatz		
Die letzte Präsentation ist bis 17 Uhr 30.	最[さい]後[ご]のプレゼンは 五[ご]時[じ]半[はん]までです。	Saigo no purezen wa go ji han made desu.	Beispielsatz		
Bis wie viel Uhr ist die letzte Präsentation?	最[さい]後[ご]のプレゼンは 何[なん]時[じ]までですか。	Saigo no purezen wa nanji made desu ka.	Beispielsatz		
Sollen wir heute Badminton spielen?	今日[きょう]バドミントンをしましょうか。	Kyou badominton o shimashou ka.	Beispielsatz		
Ich spiele heute vier Stunden lang Fußball.	今日[きょう]四[よ]時[じ]間[かん]サッカーをします。	Kyou yojikan sakkaa o shimasu.	Beispielsatz		
Wie viele Stunden spielst du heute Baseball?	今日[きょう]何[なん]時[じ]間[かん]野[や]球[きゅう]をしますか。	Kyou nanjikan yakyuu o shimasu ka.	Beispielsatz		
Wie viele Stunden spielst du am Wochenende Tennis?	週[しゅう]末[まつ]何[なん]時[じ]間[かん]テニスをしますか。	Shuumatsu nanjikan tenisu o shimasu ka.	Beispielsatz		
Wann ist das nächste Spiel?	次[つぎ]の 試合[しあい]は いつ ですか。	Tsugi no shiai wa itsu desu ka.	Beispielsatz		
Ich habe morgen um fünf Uhr Übungstraining.	明[あ]日[した]五[ご]時[じ]に 練[れん]習[しゅう]があります。	Ashita go ji ni renshuu ga arimasu.	Beispielsatz		
Was ist dies für ein Musikinstrument?	この 楽器[がっき]は 何[なん]ですか。	Kono gakki wa nan desu ka.	Beispielsatz		
Welche Art von Musikinstrument magst du?	どんな 楽器[がっき]が 好[す]きですか。	Donna gakki ga suki desu ka.	Beispielsatz		
Ich spiele etwa neun Stunden lang Klavier.	九[く]時[じ]間[かん]ぐらいピアノを 弾[ひ]きます。	Kujikan gurai piano o hikimasu.	Beispielsatz		
Ich spiele um fünf Uhr nachmittags Gitarre.	午[ご]後[ご]五[ご]時[じ]にギターを 弾[ひ]きます。	Gogo go ji ni gitaa o hikimasu.	Beispielsatz		
Spielst du um acht Uhr morgens Gitarre?	午[ご]前[ぜん]八[はち]時[じ]にギターを 弾[ひ]きますか。	Gozen hachi ji ni gitaa o hikimasu ka.	Beispielsatz		
Sprichst du auch Spanisch?	スペイン 語[ご]も 話[はな]しますか。	Supeingo mo hanashimasu ka.	Beispielsatz		
Was ist dieses Hiragana?	このひらがなは 何[なん]ですか。	Kono hiragana wa nan desu ka.	Beispielsatz		
Haben wir Kanji-Hausaufgaben?	漢[かん]字[じ]の 宿[しゅく]題[だい]はありますか。	Kanji no shukudai wa arimasu ka.	Beispielsatz		
Lasst uns Hiragana studieren.	ひらがなを 勉[べん]強[きょう]しましょう。	Hiragana o benkyou shimashou.	Beispielsatz		
Ich lerne jeden Tag mit meiner jüngeren Schwester.	毎[まい]日[にち]妹[いもうと]と 勉[べん]強[きょう]します。	Mainichi imouto benkyou shimasu.	Beispielsatz		
Ich studiere heute Nacht Hiragana.	今[こん]夜[や]は ひらがな を 勉[べん]強[きょう]します。	Konya wa hiragana o benkyou shimasu.	Beispielsatz		
Sollen wir heute Nacht Japanisch sprechen?	今[こん]夜[や]は 日[に]本[ほん]語[ご]を 話[はな]しましょうか。	Konya wa nihongo o hanashimashou ka.	Beispielsatz		
Sollen wir heute gemeinsam Kanji lernen?	今日[きょう]一[いっ]緒[しょ]に漢[かん]字[じ]を 勉[べん]強[きょう]しましょうか。	Kyou issho ni kanji o benkyou shimashou ka.	Beispielsatz		
Lasst uns eineinhalb Stunden lang Japanisch sprechen.	一[いち]時[じ]間[かん]半[はん]日[に]本[ほん]語[ご]を 話[はな]しましょう。	Ichijikan han nihongo o hanashimashou.	Beispielsatz		
An den Wochenenden spreche ich mit meinen Freunden Chinesisch.	週[しゅう]末[まつ]は 友[とも]達[だち]と 中[ちゅう]国[ごく]語[ご]を 話[はな]します。	Shuumatsu wa tomodachi to chuugokugo o hanashimasu.	Beispielsatz		
Sprichst du in der Schule Englisch?	学校[がっこう]で 英[えい]語[ご]を 話[はな]しますか。	Gakkou de eigo o hanashimasu ka.	Beispielsatz		
Haben Sie am Donnerstag Ballettunterricht?	木[もく]曜[よう]日[び]にバレエのレッスンは ありますか。	Mokuyoubi ni baree no ressun wa arimasu ka.	Beispielsatz		
Wann ist die Aufführung?	パフォーマンスは いつですか。	Pafoomansu wa itsu desu ka.	Beispielsatz		
Ich gehe zum Auftritt meiner jüngeren Schwester.	妹[いもうと]のパフォーマンスに 行[い]きます。	Imouto no pafoomansu ni ikimasu.	Beispielsatz		
Ich tanze jeden Tag etwa zwei Stunden.	毎[まい]日[にち]二[に]時[じ]間[かん]ぐらい 踊[おど]ります。	Mainichi nijikan gurai odorimasu.	Beispielsatz		
Der Unterricht beginnt gegen drei Uhr.	レッスンは 三[さん]時[じ]ごろ 始[はじ]まります。	Ressun wa san ji goro hajimarimasu.	Beispielsatz		
Um wie viel Uhr etwa beginnt die Aufführung?	パフォーマンスは 何[なん]時[じ]ごろ 始[はじ]まりますか。	Pafoomansu wa nanji goro hajimarimasu ka.	Beispielsatz		
Ich mache jeden Tag Videos.	毎[まい]日[にち]動[どう]画[が]を 作[つく]ります。	Mainichi douga o tsukurimasu.	Beispielsatz		
Ich liebe Mode!	ファッションが 大[だい]好[す]きです！	Fasshon ga daisuki desu!	Beispielsatz		
Ich lese oft Modeblogs.	よくファッションのブログを 読[よ]みます。	Yoku fasshon no burogu o yomimasu.	Beispielsatz		
Lasst uns gemeinsam ein Video machen!	一[いっ]緒[しょ]に 動[どう]画[が]を 作[つく]りましょう！	Issho ni douga o tsukurimashou!	Beispielsatz		
Schreibst du jeden Tag einen Artikel?	毎[まい]日[にち]記[き]事[じ]を 書[か]きますか。	Mainichi kiji o kakimasu ka.	Beispielsatz		
Heute Nacht werde ich den nächsten Artikel schreiben.	今[こん]夜[や]は 次[つぎ]の 記[き]事[じ]を 書[か]きます。	Konya wa tsugi no kiji o kakimasu.	Beispielsatz		
Ballettunterricht ist jeden Tag.	バレエのレッスンは 毎[まい]日[にち]です。	Baree no ressun wa mainichi desu.	Beispielsatz		
Ich studiere jeden Tag Japanisch.	毎[まい]日[にち]日[に]本[ほん]語[ご]を 勉[べん]強[きょう]します。	Mainichi nihongo o benkyou shimasu.	Beispielsatz		
Wo befindet sich deine Mutter?	あなたの お 母[かあ]さんは どこ に いますか。	Anata no okaasan wa doko ni imasu ka.	Beispielsatz		
Apfel	りんご	ringo	Vokabel-Nomen		
danke	ありがとう	arigatou	Vokabel-Sonst		
na dann, also dann	では	dewa	Vokabel-Sonst		
Name	名[な]前[まえ]	namae	Vokabel-Nomen		
Wasser, Trinkwasser /höflich/	お 水[みず]	omizu	Vokabel-Nomen		
ich /Männersprache/	僕[ぼく]	boku	Vokabel-Pron		
mein /Männersprache/	僕[ぼく]の	bokuno	Vokabel-Pron		
welche(r,s)	どれ	dore	Vokabel-Pron		
(Kuh-) Milch	牛[ぎゅう]乳[にゅう]	gyuunyuu	Vokabel-Nomen		
danke, ich werde es genießen /vor dem Essen/, guten Appetit	いただきます	itadakimasu	Vokabel-Expr		
danke für das Essen /nach dem Essen/	ごちそうさまでした	gochisousama deshita	Vokabel-Expr		
eine Minute	一分[いっぷん]	ippun	Vokabel-Expr		
sechs Minuten	六分[ろっぷん]	roppun	Vokabel-Expr		
acht Minuten	八分[はっぷん]	happun	Vokabel-Expr		
genau, exakt	ちょうど	choodo	Vokabel-Adverb		
drei Minuten	三分[さんぷん]	sanpun	Vokabel-Expr		
Wie viel kostet dieser Apfel?	このりんごは いくらですか。	Kono ringo wa ikura desu ka.	Beispielsatz		
Einen großen Apfel, bitte.	大[おお]きいりんご、ください。	Ookii ringo, kudasai.	Beispielsatz		
Danke, Hana.	花[はな]さん、ありがとう 。	Hana-san, arigatou.	Beispielsatz		
Na dann, sollen wir nach Shibuya fahren?	では、 渋[しぶ]谷[や]に 行[い]きましょうか。	Dewa, Shibuya ni ikimashou ka.	Beispielsatz		
Sollen wir Japanisch sprechen?	日[に]本[ほん]語[ご]を 話[はな]しましょうか。	Nihongo o hanashimashou ka.	Beispielsatz		
Hana kann Englisch sprechen.	花[はな]さん は 英[えい]語[ご]が できます。	Hana-san wa eigo ga dekimasu.	Beispielsatz		
Wasser, bitte.	お 水[みず]をください。	Omizu o kudasai.	Beispielsatz		
Wie ist Ihr Name?	お 名[な]前[まえ] は 何[なん]ですか。	Onamae wa nan desu ka.	Beispielsatz		
Das ist mein Kaffee! /Männersprache/	これは 僕[ぼく]のコーヒーです！	Kore wa boku no koohii desu!	Beispielsatz		
Welcher ist es?	どれですか。	Dore desu ka.	Beispielsatz		
Ich esse keine Äpfel.	りんごは 食[た]べません。	Ringo wa tabemasen.	Beispielsatz		
Welches ist das Wasser?	どれが 水[みず]ですか。	Dore ga mizu desu ka.	Beispielsatz		
Ich trinke Milch.	牛[ぎゅう]乳[にゅう]を 飲[の]みます。	Gyuunyuu o nomimasu.	Beispielsatz		
Also, guten Appetit.	じゃあ、いただきます。	Jaa, itadakimasu.	Beispielsatz		
Also, vielen Dank für das Essen.	じゃあ、ごちそうさまでした。	Jaa, gochisousama deshita.	Beispielsatz		
Was möchtest du trinken?	どれを 飲[の]みますか。	Dore o nomimasu ka.	Beispielsatz		
Welches ist das?	それはどれですか。	Sore wa dore desu ka.	Beispielsatz		
Es ist fünf nach fünf.	五[ご]時[じ]五[ご]分[ふん]です。	Go ji go fun desu.	Beispielsatz		
Es ist neun nach neun.	九[く]時[じ]九[きゅう]分[ふん]です。	Ku ji kyuu fun desu.	Beispielsatz		
Es ist jetzt eine Minute nach eins.	今[いま]は 一[いち]時[じ]一分[いっぷん]です。	Ima wa ichi ji ippun desu.	Beispielsatz		
Es ist sechs nach sechs.	六[ろく]時[じ]六分[ろっぷん]です。	Roku ji roppun desu.	Beispielsatz		
Es ist acht nach acht.	八[はち]時[じ]八分[はっぷん]です。	Hachi ji happun desu.	Beispielsatz		
Es ist jetzt 8:18 Uhr.	今[いま]は 八[はち]時[じ]十[じゅう]八分[はっぷん]です。	Ima wa hachi ji juu happun desu.	Beispielsatz		
Es ist genau 8:30 Uhr.	八[はち]時[じ]半[はん]ちょうどです。	Hachi ji han choodo desu.	Beispielsatz		
Es ist jetzt genau halb elf.	今[いま]は ちょうど 十[じゅう]時[じ]半[はん]です。	Ima wa choodo juu ji han desu.	Beispielsatz		
Es ist 6:16 Uhr.	六[ろく]時[じ]十[じゅう]六分[ろっぷん]です。	Roku ji juu roppun desu.	Beispielsatz		
Ich esse gegen zwölf Uhr.	十[じゅう]二[に]時[じ]ごろに 食[た]べます。	Juu ni ji goro ni tabemasu.	Beispielsatz		
Es ist drei nach drei.	三[さん]時[じ]三分[さんぷん]です。	San ji sanpun desu.	Beispielsatz		
Ich werde einen Gartenarbeit-Blog erstellen.	ガーデニングのブログを 作[つく]ります。	Gaadeningu no burogu o tsukurimasu.	Beispielsatz		
nicht gehen, nicht fahren /höflich/	行[い]きません	ikimasen	Vokabel-Verb-5st	行[い]く	iku
nach, zu, in /Richtung, Weg/	へ	e	Vokabel-Part		
nicht aufstehen, nicht aufwachen /höflich/	起[お]きません	okimasen	Vokabel-Verb-1st	起[お]きる	okiru
null Uhr, zwölf Uhr, Mitternacht, Mittag	零[れい]時[じ]	rei ji	Vokabel-Nomen		
Toilette	トイレ	toire	Vokabel-Katakana		
Haustier	ペット	petto	Vokabel-Katakana		
Zimmer, Raum	部屋[へや]	heya	Vokabel-Nomen		
(japanische) Küche	台[だい]所[どころ]	daidokoro	Vokabel-Nomen		
Schlafzimmer	寝[しん]室[しつ]	shinshitsu	Vokabel-Nomen		
Bad, Badewanne, Badehaus /informell/	風[ふ]呂[ろ]	furo	Vokabel-Nomen		
Fenster	窓[まど]	mado	Vokabel-Nomen		
nicht sein, nicht haben, nicht sich befinden /lebende Obj., höflich/	いません	imasen	Vokabel-Verb-1st	いる	iru
Hund	犬[いぬ]	inu	Vokabel-Nomen		
Katze	猫[ねこ]	neko	Vokabel-Nomen		
Vogel	鳥[とり]	tori	Vokabel-Nomen		
sieben (Vögel oder kleine Tiere)	七[なな]羽[わ]	nanawa	Vokabel-Num		
drei (Vögel oder kleine Tiere)	三[さん]羽[ば]	sanba	Vokabel-Num		
Welpe, Hündchen	子[こ]犬[いぬ]	koinu	Vokabel-Nomen		
Sofa	ソファー	sofaa	Vokabel-Katakana		
Katzenjunges, Kätzchen	子[こ]猫[ねこ]	koneko	Vokabel-Nomen		
Willkommen in Japan!	日本[にほん]へ ようこそ！	Nihon e youkoso !	Beispielsatz		
Ich gehe gegen neun Uhr zur Schule.	九[く]時[じ]ごろに 学校[がっこう]へ 行[い]きます。	Ku ji goro ni gakkou e ikimasu.	Beispielsatz		
Ich gehe nicht zur Schule.	学校[がっこう]に 行[い]きません。	Gakkou ni ikimasen.	Beispielsatz		
Ich gehe nachmittags um zehn Uhr schlafen.	午[ご]後[ご]十[じゅう]時[じ]に 寝[ね]ます。	Gogo juu ji ni nemasu.	Beispielsatz		
Ich werde nicht zur Arbeit gehen.	会[かい]社[しゃ]に 行[い]きません。	Kaisha ni ikimasen.	Beispielsatz		
Es ist Mitternacht (12 a.m.).	午[ご]前[ぜん]零[れい]時[じ]です。	Gozen rei ji desu.	Beispielsatz		
Es ist 12 Uhr mittags (12 p.m.).	午[ご]後[ご]零[れい]時[じ]です。	Gogo rei ji desu.	Beispielsatz		
Ich stehe um fünf Uhr auf.	五[ご]時[じ]に 起[お]きます。	Go ji ni okimasu.	Beispielsatz		
Ich gehe um acht Uhr zur Arbeit.	八[はち]時[じ]に 会[かい]社[しゃ]へ 行[い]きます。	Hachi ji ni kaisha e ikimasu.	Beispielsatz		
Ich trinke jeden Morgen Milch.	毎[まい]朝[あさ]牛[ぎゅう]乳[にゅう]を 飲[の]みます。	Maiasa gyuunyuu o nomimasu.	Beispielsatz		
Ich trinke jeden Tag grünen Tee.	毎[まい]日[にち]お 茶[ちゃ]を 飲[の]みます。	Mainichi ocha o nomimasu.	Beispielsatz		
Ich bin Student einer japanischen Sprachschule.	私[わたし]は 日[に]本[ほん]語[ご]学校[がっこう]の 学[がく]生[せい]です。	Watashi wa nihongo gakkou no gakusei desu.	Beispielsatz		
Ich gehe einkaufen.	買[か]い 物[もの]に 行[い]きます。	Kaimono ni ikimasu.	Beispielsatz		
Ich esse um sechs Uhr nachmittags (abends).	午[ご]後[ご]六[ろく]時[じ]に 食[た]べます。	Gogo roku ji ni tabemasu.	Beispielsatz		
Ist dies eine Toilette?	これはトイレですか。	Kore wa toire desu ka.	Beispielsatz		
Wo ist die Toilette?	トイレはどこですか。	Toire wa doko desu ka.	Beispielsatz		
Er/sie/es ist dort.	そこにあります。	Soko ni arimasu.	Beispielsatz		
Er/sie/es ist dort drüben.	あそこにあります。	Asoko ni arimasu.	Beispielsatz		
Gibt es zwei?	二[ふた]つありますか。	Futatsu arimasu ka.	Beispielsatz		
Es gibt eine Toilette.	トイレがあります。	Toire ga arimasu.	Beispielsatz		
Wo ist dein Haustier?	ペットはどこですか。	Petto wa doko desu ka.	Beispielsatz		
Das Apartment hat eine Klimaanlage.	アパートにはエアコンがあります。	Apaato ni wa eakon ga arimasu.	Beispielsatz		
Das Schlafzimmer ist hier.	寝[しん]室[しつ]はここです。	Shinshitsu wa koko desu.	Beispielsatz		
Wo ist die Badewanne? / Wo ist das Bad?	お 風[ふ]呂[ろ]はどこですか。	Ofuro wa doko desu ka.	Beispielsatz		
Ich bin in der Schule.	学校[がっこう]にいます。	Gakkou ni imasu.	Beispielsatz		
Haben Sie Haustiere?	ペットは いますか。	Petto wa imasu ka.	Beispielsatz		
Nein, ich habe keine Haustiere. / Nein, es gibt keine Haustiere.	いいえ、ペットは いません。	Iie, petto wa imasen.	Beispielsatz		
Es gibt drei Fenster im Raum.	部屋[へや]には 窓[まど]が 三[みっ]つあります。	Heya ni wa mado ga mittsu arimasu.	Beispielsatz		
Es gibt drei Vögel.	鳥[とり]が 三[さん]羽[ば] います。	Tori ga sanba imasu.	Beispielsatz		
Es gibt sieben Vögel.	鳥[とり]が 七[なな]羽[わ] います。	Tori ga nanawa imasu.	Beispielsatz		
Das Sofa ist hier.	ソファーはここです。	Sofaa wa koko desu.	Beispielsatz		
Welcher Stuhl ist es?	どの 椅[い]子[す]ですか。	Dono isu desu ka.	Beispielsatz		
Wie viel kostet jener Schreibtisch?	その 机[つくえ]は いくらですか。	Sono tsukue wa ikura desu ka.	Beispielsatz		
Es gibt einen Stuhl.	椅[い]子[す]が 一[ひと]つあります。	Isu ga hitotsu arimasu.	Beispielsatz		
Im Zimmer sind drei Stühle.	部屋[へや]に 三[みっ]つの 椅[い]子[す]があります。	Heya ni mittsu no isu ga arimasu.	Beispielsatz		
Es gibt Welpen und Kätzchen.	子[こ]犬[いぬ]と 子[こ]猫[ねこ]がいます。	Koinu to koneko ga imasu.	Beispielsatz		
Mein Zimmer ist hier entlang / … dies hier.	私[わたし]の 部屋[へや]は こちらです。	Watashi no heya wa kochira desu.	Beispielsatz		
Es gibt zwei Stühle.	椅[い]子[す]が 二[ふた]つあります。	Isu ga futatsu arimasu.	Beispielsatz		
Wo ist ein großes Kaufhaus?	大[おお]きいデパートはどこにありますか。	Ookii depaato wa doko ni arimasu ka.	Beispielsatz		
Es gibt einen Tisch.	テーブルが 一[ひと]つあります。	Teeburu ga hitotsu arimasu.	Beispielsatz		
Es gibt viel Wasser.	水[みず]がたくさんあります。	Mizu ga takusan arimasu.	Beispielsatz		
Es gibt einen Schreibtisch.	机[つくえ]が 一[ひと]つあります。	Tsukue ga hitotsu arimasu.	Beispielsatz		
Dies ist mein Sofa.	これは 私[わたし]の ソファーです。	Kore wa watashi no sofaa desu.	Beispielsatz		
Machst du oft Kochvideos?	よく 料[りょう]理[り]の 動[どう]画[が]を 作[つく]りますか。	Yoku ryouri no douga o tsukurimasu ka.	Beispielsatz		
Welche Art von Blog ist das?	どんなブログですか。	Donna burogu desu ka.	Beispielsatz		
Es ist wirklich langweilig hier.	ここ は 本[ほん]当[とう]に つまらないです。	Koko wa hontou ni tsumaranai desu.	Beispielsatz		
nicht sprechen /höflich/	申[もう]しません	moushimasen	Vokabel-Verb-5st	申[もう]す	mousu
sprechen /höflich/	申[もう]します	moushimasu	Vokabel-Verb-5st	申[もう]す	mousu
acht Jahre	八歳[はっさい]	hassai	Vokabel-Num		
mein Name ist … /wörtlich: sprechen mit …/	と 申[もう]します	to moushimasu	Vokabel-Expr		
nicht leben, nicht wohnen /te-Form, höflich/	住[す]んで いません	sundeimasen	Vokabel-Verb-5st	住[す]む	sumu
Auslandsstudium	留[りゅう]学[がく]	ryuogaku	Vokabel-Nomen		
Ausland	外[がい]国[こく]	gaikoku	Vokabel-Nomen		
so	そう	sou	Vokabel-Adverb		
/Partikel am Satzende zur Verstärkung einer Aussage/	よ	yo	Vokabel-Part		
Ausländer	外[がい]国[こく]人[じん]	gaikoku jin	Vokabel-Nomen		
Auslandsstudent	留[りゅう]学[がく]生[せい]	ryuogakusei	Vokabel-Nomen		
Unterschied, Verschiedenheit, Fehler	違[ちが]い	chigai	Vokabel-Nomen		
sich unterscheiden, anders sein /höflich/; das stimmt nicht; nein, das ist falsch	違[ちが]います	chigaimasu	Vokabel-Verb-5st	違[ちが]う	chigau
Student/Schüler im …-ten Studien-/Schuljahr /Suffix/	年[ねん]生[せい]	nensei	Vokabel-Suffix		
Grundschule	小[しょう]学[がく]	shougaku	Vokabel-Nomen		
Grundschüler	小[しょう]学[がく]生[せい]	shougakusei	Vokabel-Nomen		
Mittelschule	中[ちゅう]学[がく]	chuugaku	Vokabel-Nomen		
Mittelschüler	中[ちゅう]学[がく]生[せい]	chuugakusei	Vokabel-Nomen		
Kenta /männl. Rufname/	健[けん]太[た]	Kenta	Vokabel-Name		
Oberschule, Gymnasium	高[こう]校[こう]	koukou	Vokabel-Nomen		
Oberschüler, Gymnasiast	高[こう]校[こう]生[せい]	koukousei	Vokabel-Nomen		
/Pluralsuffix für lebende Wesen/	たち	tachi	Vokabel-Suffix		
Universitäts-Studenten	大[だい]学[がく]生[せい]たち	daigakusei tachi	Vokabel-Nomen		
ein (Lebens-) Jahr	一歳[いっさい]	issai	Vokabel-Num		
acht (Dinge)	八[やっ]つ	yattsu	Vokabel-Num		
neun (Dinge)	九[ここの]つ	kokonotsu	Vokabel-Num		
wie viele (Dinge)	いくつ	ikutsu	Vokabel-Nomen		
ein (kleines Ding)	一[いっ]個[こ]	ikko	Vokabel-Num		
zwei (kleine Dinge)	二[に]個[こ]	niko	Vokabel-Num		
drei (kleine Dinge)	三[さん]個[こ]	sanko	Vokabel-Num		
vier (kleine Dinge)	四[よん]個[こ]	yonko	Vokabel-Num		
fünf (kleine Dinge)	五[ご]個[こ]	goko	Vokabel-Num		
sechs (kleine Dinge)	六[ろっ]個[こ]	rokko	Vokabel-Num		
sieben (kleine Dinge)	七[なな]個[こ]	nanako	Vokabel-Num		
wie viele (kleine Dinge)	何[なん]個[こ]	nanko	Vokabel-Adverb		
Ich bin 18 Jahre alt.	十[じゅう]八歳[はっさい]です。	Juu hassai desu.	Beispielsatz		
Ich bin 16 Jahre alt.	十[じゅう]六[ろく]歳[さい]です。	Juu roku sai desu.	Beispielsatz		
Mein Name ist Tanaka.	田[た]中[なか]と 申[もう]します。	Tanaka to moushimasu.	Beispielsatz		
Ich lebe nicht in Tokio.	東[とう]京[きょう]に 住[す]んで いません。	Toukyou ni sundeimasen.	Beispielsatz		
Mein Vater ist jetzt nicht zu Hause.	お 父[とう]さん は 今[いま]家[うち]に いません。	Otousan wa ima uchi ni imasen.	Beispielsatz		
So ist es. / Stimmt. / Korrekt.	そうです。	Sou desu.	Beispielsatz		
Ja, genauso ist es.	そうですよ。	Sou desu yo.	Beispielsatz		
Genauso ist es, oder nicht?	そうですよね。	Sou desu yo ne.	Beispielsatz		
Sind Sie ein Ausländer?	外[がい]国[こく]人[じん]ですか。	Gaikoku jin desu ka.	Beispielsatz		
Sind Sie ein Auslandsstudent?	留[りゅう]学[がく]生[せい]ですか。	Ryuogakusei desu ka.	Beispielsatz		
Dies ist toll, weißt du.	これは いいですよ。	Kore wa ii desu yo.	Beispielsatz		
Nein, das ist nicht richtig.	いいえ、違[ちが]います。	Iie, chigaimasu.	Beispielsatz		
Was ist der Unterschied?	違[ちが]いは 何[なん]ですか。	Chigai wa nan desu ka.	Beispielsatz		
In welcher Klasse bist du?	何[なん] 年[ねん]生[せい]ですか。	Nan nensei desu ka.	Beispielsatz		
Ich bin ein Grundschüler im 2. Schuljahr.	小[しょう]学[がく]二[に] 年[ねん]生[せい]です。	Shougaku ni nensei desu.	Beispielsatz		
Ich bin ein Grundschüler.	小[しょう]学[がく]生[せい]です。	Shougakusei desu.	Beispielsatz		
Ich bin ein Mittelschüler.	中[ちゅう]学[がく]生[せい]です。	Chuugakusei desu.	Beispielsatz		
Ich bin ein Gymnasiast.	高[こう]校[こう]生[せい]です。	Koukousei desu.	Beispielsatz		
Kenta ist Student.	健[けん]太[た]は 学[がく]生[せい]です。	Kenta wa gakusei desu.	Beispielsatz		
Naomi und Kenta sind Universitätsstudenten.	直美[なおみ]と 健[けん]太[た]は 大[だい]学[がく]生[せい] たちです。	Naomi to Kenta wa daigakusei tachi desu.	Beispielsatz		
Ich bin 21 Jahre alt.	二[に]十[じゅう]一歳[いっさい]です。	Ni juu issai desu.	Beispielsatz		
Es gibt sechs Schreibtische.	机[つくえ]が 六[むっ]つ あります。	Tsukue ga muttsu arimasu.	Beispielsatz		
Es gibt acht Stühle.	椅[い]子[す]が 八[やっ]つ あります。	Isu ga yattsu arimasu.	Beispielsatz		
Wie viele Schreibtische gibt es im Raum?	部屋[へや]に は 机[つくえ]がいくつ ありますか。	Heya ni wa tsukue ga ikutsu arimasu ka.​	Beispielsatz		
Wie viele Tische gibt es im Restaurant?	レストラン に テーブル は いくつ ありますか。	Resutoran ni teeburu wa ikutsu arimasu ka.	Beispielsatz		
Es gibt sieben Tische.	テーブル が 七[なな]つ あります。	Teeburu ga nanatsu arimasu.	Beispielsatz		
Einen Apfel, bitte.	りんごを 一[いっ]個[こ]ください。	Ringo o ikko kudasai.	Beispielsatz		
Es gibt einen Apfel.	りんご が 一[いっ]個[こ]あります。	Ringo ga ikko arimasu.	Beispielsatz		
Ich esse drei Eier.	卵[たまご]を 三[さん]個[こ]食[た]べます。	Tamago o sanko tabemasu.	Beispielsatz		
